Country Name,mean_rank
IDA total,128.54312780998538
Sub-Saharan Africa (excluding high income),128.81370773677813
Sub-Saharan Africa,129.75903588793128
IDA only,130.6745003095959
Sub-Saharan Africa (IDA & IBRD countries),130.87671471043691
Fragile and conflict affected situations,132.05673439292184
Africa Eastern and Southern,135.60057079559888
Least developed countries: UN classification,139.35711953415634
Pre-demographic dividend,139.82174726184164
Heavily indebted poor countries (HIPC),141.6097460583299
Pacific island small states,144.61100869130186
Not classified,
