,Feature,Importance
156,2023_Proportion of people living below 50 percent of median income (%),0.13469796649838564
51,2022_Expenditure on secondary education (% of government expenditure on education),0.1295228930016405
138,2023_Expenditure on secondary education (% of government expenditure on education),0.1295228930016405
130,"2023_Compulsory education, duration (years)",0.12707796829470208
43,"2022_Compulsory education, duration (years)",0.12541211506659478
147,"2023_Literacy rate, youth total (% of people ages 15-24)",0.1197190677457067
60,"2022_Literacy rate, youth total (% of people ages 15-24)",0.11946318215994044
14,"2022_Adolescents out of school, female (% of female lower secondary school age)",0.10922393054113232
85,2022_Women who were first married by age 15 (% of women ages 20-24),0.10851521576605572
105,"2023_Age dependency ratio, young (% of working-age population)",0.10491815469433434
170,"2023_Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",0.10341102596227197
83,"2022_Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",0.10341102596227197
76,2022_Unemployment with advanced education (% of total labor force with advanced education),0.10092472225271065
45,2022_Current health expenditure (% of GDP),0.09341404935008123
132,2023_Current health expenditure (% of GDP),0.09341404935008123
172,2023_Women who were first married by age 15 (% of women ages 20-24),0.09303080097521706
161,2023_Terms of trade adjustment (constant LCU),0.08825301773672481
134,"2023_Employers, female (% of female employment) (modeled ILO estimate)",0.08574599751259808
47,"2022_Employers, female (% of female employment) (modeled ILO estimate)",0.08574599751259808
101,"2023_Adolescents out of school, female (% of female lower secondary school age)",0.08044157371899198
75,"2022_Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.07988891626587995
162,"2023_Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.07988891626587995
152,2023_People using at least basic sanitation services (% of population),0.07874152274249939
65,2022_People using at least basic sanitation services (% of population),0.07874152274249939
100,2023_Adolescents out of school (% of lower secondary school age),0.07417645366754595
26,"2022_Children in employment, study and work, male (% of male children in employment, ages 7-14)",0.07124503169933609
113,"2023_Children in employment, study and work, male (% of male children in employment, ages 7-14)",0.07124503169933609
120,"2023_Children in employment, work only, male (% of male children in employment, ages 7-14)",0.07121345540665384
33,"2022_Children in employment, work only, male (% of male children in employment, ages 7-14)",0.07121345540665384
16,2022_Age dependency ratio (% of working-age population),0.07097224345346591
150,2023_Multilateral debt service (% of public and publicly guaranteed debt service),0.06713643151108034
63,2022_Multilateral debt service (% of public and publicly guaranteed debt service),0.06713643151108034
114,"2023_Children in employment, total (% of children ages 7-14)",0.05945551284645182
27,"2022_Children in employment, total (% of children ages 7-14)",0.05945551284645182
116,"2023_Children in employment, wage workers, female (% of female children in employment, ages 7-14)",0.048664011659140693
29,"2022_Children in employment, wage workers, female (% of female children in employment, ages 7-14)",0.048664011659140693
13,2022_Adolescents out of school (% of lower secondary school age),0.0481230172837661
127,"2023_Community health workers (per 1,000 people)",0.04772255227207949
40,"2022_Community health workers (per 1,000 people)",0.04772255227207949
163,2023_Unemployment with advanced education (% of total labor force with advanced education),0.042938341350672204
106,"2023_Birth rate, crude (per 1,000 people)",0.0421124920900754
19,"2022_Birth rate, crude (per 1,000 people)",0.0421124920900754
70,"2022_School enrollment, primary (gross), gender parity index (GPI)",0.03615815896039905
157,"2023_School enrollment, primary (gross), gender parity index (GPI)",0.03615815896039905
112,"2023_Children in employment, study and work, female (% of female children in employment, ages 7-14)",0.03588637039648382
25,"2022_Children in employment, study and work, female (% of female children in employment, ages 7-14)",0.03588637039648382
32,"2022_Children in employment, work only, female (% of female children in employment, ages 7-14)",0.035802614980116935
119,"2023_Children in employment, work only, female (% of female children in employment, ages 7-14)",0.035802614980116935
107,2023_Births attended by skilled health staff (% of total),0.0323750975228191
20,2022_Births attended by skilled health staff (% of total),0.0323750975228191
144,"2023_Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.030354372817704103
57,"2022_Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.030000986255503313
2,"2022_Access to clean fuels and technologies for cooking, urban (% of urban population)",0.028391740504398386
89,"2023_Access to clean fuels and technologies for cooking, urban (% of urban population)",0.028391740504398386
145,"2023_Literacy rate, youth female (% of females ages 15-24)",0.027196275349090367
58,"2022_Literacy rate, youth female (% of females ages 15-24)",0.027085274953947743
18,"2022_Age dependency ratio, young (% of working-age population)",0.022685351351371973
93,2023_Adequacy of social insurance programs (% of total welfare of beneficiary households),0.018359693219799116
6,2022_Adequacy of social insurance programs (% of total welfare of beneficiary households),0.018359693219799116
108,"2023_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0.01733199772944708
21,"2022_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0.01733199772944708
166,"2023_Unemployment, total (% of total labor force) (national estimate)",0.016626536069161965
173,2023_Women who were first married by age 18 (% of women ages 20-24),0.015204769937307567
23,"2022_Cause of death, by non-communicable diseases (% of total)",0.013232328524802573
110,"2023_Cause of death, by non-communicable diseases (% of total)",0.013232328524802573
82,"2022_Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",0.009718021160616415
169,"2023_Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",0.009718021160616415
12,"2022_Adolescent fertility rate (births per 1,000 women ages 15-19)",0.008822284053360005
99,"2023_Adolescent fertility rate (births per 1,000 women ages 15-19)",0.008822284053360005
48,"2022_Employers, male (% of male employment) (modeled ILO estimate)",0.004892643735948654
135,"2023_Employers, male (% of male employment) (modeled ILO estimate)",0.004892643735948654
11,2022_Adjusted savings: education expenditure (current US$),0.0038488930913005773
98,2023_Adjusted savings: education expenditure (current US$),0.0038488930913005773
86,2022_Women who were first married by age 18 (% of women ages 20-24),0.0025623456815425855
103,2023_Age dependency ratio (% of working-age population),0.002200049170775415
79,"2022_Unemployment, total (% of total labor force) (national estimate)",0.001582835305134903
