Country Name,mean_rank,rank
Puerto Rico,50.780371207705706,86
Algeria,51.36659270097234,87
Azerbaijan,51.526148125592634,88
Panama,51.55129103077188,89
Maldives,51.596101032593054,90
Nauru,51.61187259717932,91
Mauritius,51.81793522657815,92
Russian Federation,52.073096786215,93
Gibraltar,52.19258512827524,94
Moldova,52.96326004931413,95
Montenegro,53.534108619033155,96
Ecuador,53.67701007172084,97
Paraguay,53.760770626069245,98
Armenia,54.082884988359574,99
Bulgaria,54.097244415199505,100
Dominican Republic,54.26085142053853,101
"Egypt, Arab Rep.",54.3791398155367,102
St. Martin (French part),54.91530532975364,103
Georgia,55.24779790609463,104
El Salvador,55.278175060915096,105
Peru,55.5078110044986,106
Turkmenistan,55.72070521840459,107
European Union,55.819158009839725,108
Tajikistan,56.29520344886438,109
High income,56.59705236988412,110
West Bank and Gaza,57.061345156324286,111
Jamaica,57.09939913283999,112
Guam,57.24523543901697,113
Kyrgyz Republic,57.25897844500946,114
Central Europe and the Baltics,57.32201113021762,115
OECD members,57.384717230115136,116
"Iran, Islamic Rep.",57.74402887997414,117
China,57.83038834456707,118
"Bahamas, The",57.86468292053949,119
"Venezuela, RB",58.22388588959875,120
Bolivia,58.70883633189294,121
Malaysia,58.84740025797024,122
Viet Nam,58.92731122904321,123
Lebanon,59.034447698583584,124
Mongolia,59.628472885887504,125
Northern Mariana Islands,60.204039992995895,126
Post-demographic dividend,60.46226950521858,127
Greenland,60.54945521150754,128
Europe & Central Asia,60.58715292010848,129
Belize,60.592158151059174,130
Dominica,60.635412218517956,131
Tonga,60.78148745439716,132
Sri Lanka,60.85551614900686,133
Philippines,60.98413768122895,134
Honduras,61.03296662552488,135
Virgin Islands (U.S.),61.58743709634896,136
South Africa,61.72667910900727,137
St. Lucia,61.821244871066995,138
Marshall Islands,62.11036511078177,139
Indonesia,62.236546392238566,140
Syrian Arab Republic,62.88298752555708,141
Nicaragua,63.452766700904036,142
Iraq,63.946886534558075,143
Guatemala,64.50905266397139,144
Channel Islands,65.07955229370938,145
Samoa,65.53044233204307,146
Isle of Man,65.64901037514772,147
St. Vincent and the Grenadines,65.73641766235487,148
Grenada,66.20437508056165,149
Curacao,66.72966997959887,150
New Caledonia,68.19691564509513,151
Kosovo,68.26572404903393,152
Upper middle income,69.93108220184847,153
Eswatini,70.05365905509474,154
Gabon,70.07439747282818,155
Ghana,70.5720308028244,156
Botswana,70.63241140289672,157
Cabo Verde,70.75149055648346,158
Morocco,71.22848568817345,159
Namibia,71.52977956740546,160
Guyana,71.58925963136019,161
Lesotho,72.17766930884348,162
Tuvalu,72.51167429527042,163
Late-demographic dividend,72.65516177346018,164
Europe & Central Asia (excluding high income),72.84859656734942,165
Fiji,72.92175163710435,166
Europe & Central Asia (IDA & IBRD countries),72.94245212811565,167
French Polynesia,73.04829444095236,168
India,73.17688114237254,169
Latin America & Caribbean (excluding high income),73.74389796862032,170
Latin America & Caribbean,74.08516160575876,171
Suriname,74.15067471644328,172
Latin America & the Caribbean (IDA & IBRD countries),74.48619644759039,173
Bangladesh,74.82670343121363,174
"Yemen, Rep.",75.06967109488639,175
Cambodia,75.35643308480134,176
East Asia & Pacific,75.58427783716527,177
Pakistan,76.011261348985,178
Senegal,77.48587029172185,179
Bhutan,78.35675542778647,180
Angola,78.85031215088928,181
Cote d'Ivoire,79.19423757831152,182
Myanmar,79.22047391250688,183
Kenya,79.23465276436929,184
East Asia & Pacific (excluding high income),79.537239626051,185
Cameroon,79.53790419277338,186
Togo,79.7549523260874,187
Nepal,79.95525932946246,188
Timor-Leste,80.62430170973337,189
East Asia & Pacific (IDA & IBRD countries),80.73738043708518,190
Malawi,81.10306970280912,191
Lao PDR,81.343355716343,192
Mauritania,81.63995233898774,193
Faroe Islands,81.74293775735609,194
Zambia,81.96931398698814,195
Rwanda,82.55313807044621,196
Sierra Leone,82.71128282935915,197
"Gambia, The",82.87410690735155,198
American Samoa,82.9052442617736,199
Mozambique,82.99712232903524,200
Middle East & North Africa,83.69531101136845,201
Kiribati,83.88335082255107,202
Uganda,84.5015995441302,203
Caribbean small states,84.50597628293106,204
"Congo, Rep.",84.61950978813967,205
Liberia,85.50958308492517,206
Tanzania,85.71254383914028,207
Madagascar,86.32951696761303,208
Benin,86.53699324446654,209
Sao Tome and Principe,87.02106827381724,210
"Korea, Dem. People's Rep.",87.09182742677204,211
Nigeria,87.55582640610072,212
Burkina Faso,87.7157752098736,213
Vanuatu,87.84487744690128,214
Middle East & North Africa (excluding high income),88.26120438433281,215
Burundi,88.56997617729253,216
Mali,89.1733440056372,217
"Micronesia, Fed. Sts.",89.50861882919712,218
Libya,89.51047367513489,219
Sudan,89.87994506549852,220
Ethiopia,89.88862317375927,221
Guinea,90.85050391725358,222
"Congo, Dem. Rep.",91.05947964101932,223
Zimbabwe,91.35590501757972,224
Guinea-Bissau,91.39310593828438,225
Afghanistan,91.9665035139221,226
Chad,91.96995067668782,227
Middle East & North Africa (IDA & IBRD countries),92.15557892495187,228
IBRD only,92.68607358713325,229
Niger,92.92243443039938,230
Other small states,93.07122738918667,231
Small states,94.19701781902354,232
World,94.29299412110852,233
Comoros,94.29362226511972,234
Papua New Guinea,94.82907997587323,235
Arab World,97.1895598171155,236
Haiti,97.57260545548192,237
Djibouti,99.36908957231682,238
Central African Republic,99.71119396497078,239
Middle income,99.7769369766299,240
Equatorial Guinea,100.25822131051875,241
Lower middle income,100.57323445635973,242
South Sudan,100.77396033237062,243
Solomon Islands,101.24897142320272,244
Somalia,101.35380311638856,245
Low & middle income,102.27893724319841,246
Early-demographic dividend,104.61723094354299,247
IDA & IBRD total,106.09959091614546,248
South Asia,107.41781879839488,249
South Asia (IDA & IBRD),109.23768013247863,250
Eritrea,109.8964114532015,251
IDA blend,112.01256093282576,252
Africa Western and Central,120.85032453394628,253
Low income,122.78894779653508,254
IDA total,128.54312780998538,255
Sub-Saharan Africa (excluding high income),128.81370773677813,256
Sub-Saharan Africa,129.75903588793128,257
IDA only,130.6745003095959,258
Sub-Saharan Africa (IDA & IBRD countries),130.87671471043691,259
Fragile and conflict affected situations,132.05673439292184,260
Africa Eastern and Southern,135.60057079559888,261
Least developed countries: UN classification,139.35711953415634,262
Pre-demographic dividend,139.82174726184164,263
Heavily indebted poor countries (HIPC),141.6097460583299,264
Pacific island small states,144.61100869130186,265
Not classified,,266
